0 0 0 ..GBBB..GCCC.AAHIJ...HIJ.DDH.KEEEFFK
6 6 0 ...BBBCCCH.JAAGHIJ..GHI...DD.KEEEFFK G98 C97 A99 H99 J99 D99
6 6 0 .BBB.J.CCC.JAA.HI...GHI.DDGH.KEEEFFK G97 B98 C98 A99 J98 D99
6 6 0 BBBH..CCCH..AAGH.J..G.IJ.DD.IKEEEFFK G98 B97 C97 A99 H98 I99
6 6 0 ..BBBJCCC.IJAAGHI...GH...DDH.KEEEFFK G98 B99 C97 A99 I99 J98
6 6 0 ..BBBJCCCH.JAAGHI...GHI..DD..KEEEFFK G98 B99 C97 A99 H99 J98
6 6 0 ..BBB.CCCHI.AAGHIJ..GH.J.DD..KEEEFFK G98 B99 C97 A99 H99 I99
6 6 0 .BBB..CCCH..AAGHIJ..GHIJDD...KEEEFFK G98 B98 C97 A99 H99 D99
6 6 0 .BBB...CCC.JAAGHIJ..GHI.DD.H.KEEEFFK G98 B98 C98 A99 J99 D99
6 6 0 .BBB...CCC..AAGH.J..GHIJDD.HIKEEEFFK G98 B98 C98 A99 I99 D99
6 6 0 .BBBI..CCCI.AAGH.J..GH.JDD.H.KEEEFFK G98 B98 C98 A99 I98 D99
6 6 0 .BBB.J.CCC.JAAGHI...GHI.DD.H.KEEEFFK G98 B98 C98 A99 J98 D99
6 6 0 ...BBBCCCH.JAAGHIJ..GHI....DDKEEEFFK G98 C97 A99 H99 J99 D98
6 6 0 .BBB...CCCI.AAGHIJ..GH.JDD.H.KEEEFFK G98 B98 C98 A99 I99 D99
6 6 0 .BBB..CCC..JAAGHIJ..GHI.DD.H.KEEEFFK G98 B98 C97 A99 J99 D99
6 6 0 ...BBBCCCHI.AAGHIJ..GH.JDD...KEEEFFK G98 C97 A99 H99 I99 D99
6 6 0 .BBB..CCC...AAGH.J..GHIJDD.HIKEEEFFK G98 B98 C97 A99 I99 D99
6 6 0 .BBBI.CCC.I.AAGH.J..GH.JDD.H.KEEEFFK G98 B98 C97 A99 I98 D99
6 6 0 ...BBB.CCC.JAA.H.J..GHI.DDGHIKEEEFFK G97 C98 A99 I99 J99 D99
6 6 0 ...BBB.CCCIJAA.HIJ..GH..DDGH.KEEEFFK G97 C98 A99 I99 J99 D99
6 6 0 ...BBB.CCC.JAA.HIJ..GHIKDDGH.KEEEFF. G97 C98 A99 J99 D99 K99
6 6 0 .BBB..CCC.I.AAGHIJ..GH.JDD.H.KEEEFFK G98 B98 C97 A99 I99 D99
6 6 0 .BBB..CCCH..AAGHIJ..GHIJ...DDKEEEFFK G98 B98 C97 A99 H99 D98
6 6 0 ...BBB.CCC...AAH.J..GHIJDDGHIKEEEFFK G97 C98 A98 I99 D99
6 6 0 .BBB..CCCH..AAGHIJ..GHIJ..DD.KEEEFFK G98 B98 C97 A99 H99 D99
6 6 0 ...BBB..CCCJAA.H.J..GHI.DDGHIKEEEFFK G97 C99 A99 I99 J99 D99
6 6 0 ...BBB..CCCJ.AAHIJ..GHI.DDGH.KEEEFFK G97 C99 A98 J99 D99
6 6 0 .BBB.JCCCH.JAAGHI...GHI..DD..KEEEFFK G98 B98 C97 A99 H99 J98
6 6 0 ...BBB.CCC.J.AAHIJ..GHI.DDGH.KEEEFFK G97 C98 A98 J99 D99
6 6 0 BBB..J.CCC.JAA.HI...GHI.DDGH.KEEEFFK G97 B97 C98 A99 J98 D99
6 6 0 BBB.....CCCJAA.HIJ..GHI.DDGH.KEEEFFK G97 B97 C99 A99 J99 D99
6 6 0 .BBB....CCCJAA.HIJ..GHI.DDGH.KEEEFFK G97 B98 C99 A99 J99 D99
6 6 0 .BBB..CCCH.JAAGHIJ..GHI..DD..KEEEFFK G98 B98 C97 A99 H99 J99
6 6 0 ..BBB...CCCJAA.HIJ..GHI.DDGH.KEEEFFK G97 B99 C99 A99 J99 D99
6 6 0 .BBB..CCC..JAAGH.J..GHI..DDHIKEEEFFK G98 B98 C97 A99 I99 J99
6 6 0 .BBB..CCCH..AAGH.J..GHIJ.DD.IKEEEFFK G98 B98 C97 A99 H99 I99
6 6 0 BBB..JCCC..JAAGHIK..GHIK.DDH..EEEFF. G98 B97 C97 A99 J98 K98
6 6 0 ..BBB.CCC..JAAGH.J..GHI..DDHIKEEEFFK G98 B99 C97 A99 I99 J99
6 6 0 ..BBBJ.CCC.JAAGH....GHI..DDHIKEEEFFK G98 B99 C98 A99 I99 J98
6 6 0 .BBBI.CCCHI.AAGH.J..GH.J.DD..KEEEFFK G98 B98 C97 A99 H99 I98
6 6 0 ..BBB..CCC.JAAGH.J..GHI..DDHIKEEEFFK G98 B99 C98 A99 I99 J99
6 6 0 .BBB.J.CCC.JAAGHI...GHIK.DDH.KEEEFF. G98 B98 C98 A99 J98 K99
6 6 0 .BBB..CCCHI.AAGHIJ..GH.J.DD..KEEEFFK G98 B98 C97 A99 H99 I99
6 6 0 ...BBBCCC..JAA.H.J..GHI.DDGHIKEEEFFK G97 C97 A99 I99 J99 D99
6 6 0 ...BBBCCC..JAA.HIJ..GHIKDDGH.KEEEFF. G97 C97 A99 J99 D99 K99
6 6 0 ...BBBCCCH...AAHIJ..GHIJDDG..KEEEFFK G97 C97 A98 H99 D99
6 6 0 .BBB.J..CCCJAAGHI...GHI.DD.H.KEEEFFK G98 B98 C99 A99 J98 D99
6 6 0 .BBB.J.CCC.JAAGH....GHI..DDHIKEEEFFK G98 B98 C98 A99 I99 J98
6 6 0 .BBBIJ.CCCIJAAGH....GH...DDH.KEEEFFK G98 B98 C98 A99 I98 J98
6 6 0 BBB...CCC..JAAGHIJ..GHI.DD.H.KEEEFFK G98 B97 C97 A99 J99 D99
6 6 0 .BBB.J.CCCIJAAGHI...GH...DDH.KEEEFFK G98 B98 C98 A99 I99 J98
6 6 0 BBB.I.CCCHI.AAGH.J..GH.J.DD..KEEEFFK G98 B97 C97 A99 H99 I98
6 6 0 BBB...CCC...AAGH.J..GHIJDD.HIKEEEFFK G98 B97 C97 A99 I99 D99
6 6 0 ..BBBJ.CCC.JAA.HI...GHI.DDGH.KEEEFFK G97 B99 C98 A99 J98 D99
6 6 0 ..BBB...CCCJAAGHIJ..GHI.DD.H.KEEEFFK G98 B99 C99 A99 J99 D99
