Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time(in seconds)
48,GBFS,h4,14,288,0.14
48,A,h1,13,798,0.48
48,A,h2,13,798,0.47
48,A,h3,14,288,0.14
48,A,h4,14,495,0.31
49,UCS,NA,10,187,0.06
49,GBFS,h1,10,44,0.01
49,GBFS,h2,10,44,0.02
49,GBFS,h3,10,44,0.02
49,GBFS,h4,10,44,0.01
49,A,h1,10,146,0.05
49,A,h2,10,146,0.05
49,A,h3,10,45,0.01
49,A,h4,10,84,0.03
50,UCS,NA,9,174,0.04
50,GBFS,h1,9,66,0.02
50,GBFS,h2,9,66,0.02
50,GBFS,h3,9,66,0.02
50,GBFS,h4,9,66,0.02
50,A,h1,9,134,0.04
50,A,h2,9,134,0.04
50,A,h3,9,66,0.02
50,A,h4,10,67,0.02
